participant_id	GoldMSI_Active_sum	GoldMSI_Training_sum
sub-010001	19.0	7.0
sub-010002	16.0	10.0
sub-010004	9.0	7.0
sub-010005	14.0	7.0
sub-010006	11.0	7.0
sub-010007	15.0	7.0
sub-010008	23.0	26.0
sub-010009	24.0	24.0
sub-010011	17.0	7.0
sub-010012	25.0	12.0
sub-010014	33.0	8.0
sub-010015	13.0	14.0
sub-010016	25.0	22.0
sub-010017	27.0	32.0
sub-010018	35.0	36.0
sub-010019	32.0	32.0
sub-010020	25.0	17.0
sub-010021	26.0	24.0
sub-010003	n/a	n/a
sub-010010	n/a	n/a
sub-010100	n/a	n/a
sub-010022	23.0	35.0
sub-010023	15.0	10.0
sub-010024	30.0	8.0
sub-010104	n/a	n/a
sub-010321	n/a	n/a
sub-010110	n/a	n/a
sub-010134	n/a	n/a
sub-010150	n/a	n/a
sub-010169	n/a	n/a
sub-010025	17.0	19.0
sub-010026	19.0	7.0
sub-010027	18.0	35.0
sub-010320	n/a	n/a
sub-010028	14.0	30.0
sub-010029	34.0	29.0
sub-010030	23.0	9.0
sub-010031	15.0	32.0
sub-010032	27.0	33.0
sub-010033	20.0	17.0
sub-010034	28.0	7.0
sub-010170	n/a	n/a
sub-010035	16.0	37.0
sub-010183	n/a	n/a
sub-010197	n/a	n/a
sub-010036	14.0	29.0
sub-010037	30.0	10.0
sub-010199	n/a	n/a
sub-010202	n/a	n/a
sub-010038	29.0	7.0
sub-010039	13.0	7.0
sub-010207	n/a	n/a
sub-010040	30.0	29.0
sub-010041	19.0	21.0
sub-010042	26.0	26.0
sub-010219	n/a	n/a
sub-010043	20.0	14.0
sub-010222	n/a	n/a
sub-010044	25.0	10.0
sub-010045	15.0	13.0
sub-010046	12.0	21.0
sub-010047	17.0	8.0
sub-010048	16.0	22.0
sub-010223	n/a	n/a
sub-010049	13.0	12.0
sub-010234	n/a	n/a
sub-010050	15.0	17.0
sub-010051	24.0	9.0
sub-010235	n/a	n/a
sub-010052	23.0	7.0
sub-010053	22.0	26.0
sub-010054	24.0	8.0
sub-010055	27.0	7.0
sub-010056	14.0	13.0
sub-010057	23.0	12.0
sub-010058	36.0	16.0
sub-010059	16.0	15.0
sub-010060	37.0	19.0
sub-010061	29.0	32.0
sub-010062	31.0	20.0
sub-010063	32.0	7.0
sub-010064	40.0	29.0
sub-010065	32.0	24.0
sub-010066	30.0	40.0
sub-010236	n/a	n/a
sub-010067	37.0	28.0
sub-010237	n/a	n/a
sub-010068	29.0	27.0
sub-010069	20.0	11.0
sub-010070	25.0	26.0
sub-010238	n/a	n/a
sub-010071	35.0	34.0
sub-010072	24.0	23.0
sub-010073	34.0	12.0
sub-010074	30.0	9.0
sub-010075	34.0	16.0
sub-010076	23.0	24.0
sub-010077	12.0	15.0
sub-010078	25.0	36.0
sub-010239	n/a	n/a
sub-010079	31.0	34.0
sub-010080	24.0	13.0
sub-010240	n/a	n/a
sub-010081	32.0	30.0
sub-010082	22.0	13.0
sub-010083	14.0	8.0
sub-010084	29.0	34.0
sub-010241	n/a	n/a
sub-010085	18.0	19.0
sub-010242	n/a	n/a
sub-010086	11.0	7.0
sub-010087	15.0	13.0
sub-010243	n/a	n/a
sub-010244	n/a	n/a
sub-010245	n/a	n/a
sub-010246	n/a	n/a
sub-010088	29.0	13.0
sub-010089	26.0	12.0
sub-010090	41.0	28.0
sub-010091	33.0	26.0
sub-010247	n/a	n/a
sub-010249	n/a	n/a
sub-010092	7.0	7.0
sub-010093	24.0	31.0
sub-010250	n/a	n/a
sub-010251	n/a	n/a
sub-010094	29.0	12.0
sub-010252	n/a	n/a
sub-010253	n/a	n/a
sub-010096	26.0	28.0
sub-010097	19.0	7.0
sub-010098	33.0	32.0
sub-010099	9.0	21.0
sub-010101	20.0	19.0
sub-010102	30.0	40.0
sub-010103	18.0	9.0
sub-010105	21.0	16.0
sub-010106	28.0	23.0
sub-010107	22.0	25.0
sub-010108	40.0	20.0
sub-010109	21.0	7.0
sub-010111	21.0	33.0
sub-010112	29.0	23.0
sub-010113	12.0	13.0
sub-010114	29.0	11.0
sub-010115	33.0	33.0
sub-010116	24.0	31.0
sub-010117	28.0	44.0
