participant_id	RAT_CORRECT_NR	RAT_PERCENT	RAT_Rtmeanforcorrectanswers
sub-010001	n/a	n/a	n/a
sub-010002	n/a	n/a	n/a
sub-010004	n/a	n/a	n/a
sub-010005	n/a	n/a	n/a
sub-010006	n/a	n/a	n/a
sub-010007	n/a	n/a	n/a
sub-010008	n/a	n/a	n/a
sub-010009	n/a	n/a	n/a
sub-010011	n/a	n/a	n/a
sub-010012	n/a	n/a	n/a
sub-010014	11.0	55.0	10.0
sub-010015	n/a	n/a	n/a
sub-010016	10.0	50.0	4.003
sub-010017	14.0	70.0	3.867
sub-010018	10.0	50.0	3.368
sub-010019	n/a	n/a	n/a
sub-010020	n/a	n/a	n/a
sub-010021	n/a	n/a	n/a
sub-010003	n/a	n/a	n/a
sub-010010	n/a	n/a	n/a
sub-010100	n/a	n/a	n/a
sub-010022	8.0	40.0	10.0
sub-010023	n/a	n/a	n/a
sub-010024	n/a	n/a	n/a
sub-010104	n/a	n/a	n/a
sub-010321	n/a	n/a	n/a
sub-010110	n/a	n/a	n/a
sub-010134	n/a	n/a	n/a
sub-010150	n/a	n/a	n/a
sub-010169	n/a	n/a	n/a
sub-010025	n/a	n/a	n/a
sub-010026	n/a	n/a	n/a
sub-010027	n/a	n/a	n/a
sub-010320	n/a	n/a	n/a
sub-010028	n/a	n/a	n/a
sub-010029	n/a	n/a	n/a
sub-010030	n/a	n/a	n/a
sub-010031	n/a	n/a	n/a
sub-010032	8.0	40.0	8.494
sub-010033	13.0	65.0	5.62
sub-010034	n/a	n/a	n/a
sub-010170	n/a	n/a	n/a
sub-010035	n/a	n/a	n/a
sub-010183	n/a	n/a	n/a
sub-010197	n/a	n/a	n/a
sub-010036	6.0	30.0	8.452
sub-010037	n/a	n/a	n/a
sub-010199	n/a	n/a	n/a
sub-010202	n/a	n/a	n/a
sub-010038	n/a	n/a	n/a
sub-010039	n/a	n/a	n/a
sub-010207	n/a	n/a	n/a
sub-010040	n/a	n/a	n/a
sub-010041	n/a	n/a	n/a
sub-010042	n/a	n/a	n/a
sub-010219	n/a	n/a	n/a
sub-010043	n/a	n/a	n/a
