trial	condition	rt	acc	resp	word	val	gra	col	l_targ	r_targ
1	2	2354	0	2	BUNT	A	P	2	S	A
2	3	3474	0	1	KRAFTLOS	A	N	1	R	B
3	1	2821	0	2	IDYLLE	S	P	2	N	P
4	3	2108	0	2	LEBENDIG	A	P	2	R	B
5	1	1526	0	2	GEWINN	S	P	1	N	P
6	1	4222	0	2	LOYAL	A	P	2	N	P
7	3	2381	0	1	TOPFIT	A	P	1	R	B
8	2	2394	0	2	GIERIG	A	N	2	S	A
9	1	3689	0	1	INFERNO	S	N	1	N	P
10	2	2987	0	1	KÜSTE	S	P	2	S	A
11	1	1993	0	1	BOSHAFT	A	N	1	N	P
12	2	3754	0	2	MUTIG	A	P	2	S	A
13	2	994	0	1	BLÜTE	S	P	2	S	A
14	3	1841	0	1	INSEL	S	P	1	R	B
15	3	1920	0	2	MASSAGE	S	P	2	R	B
16	3	1025	0	2	GEMETZEL	S	N	2	R	B
17	1	2456	0	2	PERFEKT	A	P	1	N	P
18	1	1312	0	2	HEITER	A	P	1	N	P
19	1	1190	0	1	MORDFALL	S	N	1	N	P
20	2	2099	0	1	ALPTRAUM	S	N	1	S	A
21	2	2302	0	2	TROSTLOS	A	N	2	S	A
22	2	816	0	1	SCHLACHT	S	N	1	S	A
23	1	2264	0	1	TOXISCH	A	N	2	N	P
24	3	2714	0	1	UNFALL	S	N	1	R	B
25	1	2749	0	2	GESCHENK	S	P	2	N	P
26	1	1035	0	2	VERTRAUT	A	P	2	N	P
27	3	1848	0	2	NATUR	S	P	2	R	B
28	2	2039	0	1	SOMMER	S	P	1	S	A
29	1	2289	0	2	SILBERN	A	P	1	N	P
30	3	2445	0	1	SATT	A	P	1	R	B
31	3	2041	0	1	TREULOS	A	N	1	R	B
32	2	1736	0	1	SADISMUS	S	N	2	S	A
33	1	1200	0	1	ÜBERFALL	S	N	1	N	P
34	3	1655	0	1	FRIEDEN	S	P	1	R	B
35	1	1492	0	2	ENERGIE	S	P	1	N	P
36	3	1792	0	2	OHRFEIGE	S	N	2	R	B
37	1	2311	0	2	ZART	A	P	1	N	P
38	2	2009	0	1	LEPRA	S	N	2	S	A
39	3	1456	0	2	SUPER	A	P	2	R	B
40	1	3485	0	2	FRIEDE	S	P	1	N	P
41	2	2413	1	1	DEKADENT	A	N	1	S	A
42	3	2452	0	2	FREIHEIT	S	P	2	R	B
