trial	condition	rt	acc	resp	word	val	gra	col	l_targ	r_targ
1	3	3325	0	2	MUTIG	A	P	2	R	B
2	1	3624	0	2	ERFÜLLUNG	S	P	2	N	P
3	2	1357	0	1	NATUR	S	P	2	S	A
4	3	2228	0	2	BEQUEM	A	P	2	R	B
5	1	2548	0	1	UNBEQUEM	A	N	2	N	P
6	2	1386	0	2	GEMEIN	A	N	2	S	A
7	3	1275	0	1	TRAURIG	A	N	1	R	B
8	1	1764	1	2	STREIT	S	N	2	N	P
9	2	1949	0	1	OHRFEIGE	S	N	1	S	A
10	3	2853	0	1	SCHLECHT	A	N	1	R	B
11	1	2176	0	2	URLAUB	S	P	1	N	P
12	2	2050	0	2	SATT	A	P	2	S	A
13	1	2350	0	2	TOLERANZ	S	P	1	N	P
14	3	2111	0	1	BESTIE	S	N	1	R	B
15	1	3033	0	1	ASOZIAL	A	N	2	N	P
16	2	2509	0	2	GESUND	A	P	1	S	A
17	3	1409	0	1	LEICHNAM	S	N	1	R	B
18	2	2230	0	2	TAPFER	A	P	1	S	A
19	2	2596	0	1	TUMOR	S	N	2	S	A
20	3	1585	0	1	ZART	A	P	1	R	B
21	2	1578	0	1	ZUKUNFT	S	P	1	S	A
22	1	1728	0	1	GRANATE	S	N	1	N	P
23	2	2537	0	2	POSITIV	A	P	2	S	A
24	1	3259	0	2	VERTRAUT	A	P	1	N	P
25	3	1479	0	1	GUTARTIG	A	P	1	R	B
26	2	2248	0	1	SCHLACHT	S	N	1	S	A
27	3	2008	0	1	SADISMUS	S	N	1	R	B
28	2	2213	0	1	BEGABUNG	S	P	2	S	A
29	1	3980	0	1	HALBTOT	A	N	2	N	P
30	1	3440	0	1	UNGESUND	A	N	2	N	P
31	1	1766	0	2	LUKRATIV	A	P	2	N	P
32	2	2072	0	2	TROSTLOS	A	N	1	S	A
33	2	1874	0	1	GESCHENK	S	P	1	S	A
34	3	1298	0	1	MASSAGE	S	P	1	R	B
35	2	1743	0	1	GEMETZEL	S	N	1	S	A
36	2	2129	0	1	INTRIGE	S	N	2	S	A
37	3	1452	0	2	STRAND	S	P	2	R	B
38	1	1992	0	2	KLUGHEIT	S	P	1	N	P
39	3	1624	0	2	EHRLICH	A	P	2	R	B
40	1	3814	0	1	UNRECHT	S	N	1	N	P
41	1	1538	0	2	WEISE	A	P	1	N	P
42	3	2139	0	2	PFIFFIG	A	P	2	R	B
43	2	1180	0	1	ERHOLUNG	S	P	2	S	A
44	1	3081	0	2	HEILFROH	A	P	2	N	P
45	2	1894	0	1	FREIZEIT	S	P	2	S	A
46	1	2504	0	1	BLUTIG	A	N	2	N	P
47	2	3178	0	2	REIZVOLL	A	P	1	S	A
48	2	1794	0	2	KREATIV	A	P	2	S	A
49	3	1263	0	1	NETT	A	P	1	R	B
50	3	1830	0	2	TAKTVOLL	A	P	2	R	B
51	3	1456	0	1	ZWECKLOS	A	N	1	R	B
52	1	2141	0	1	VIRUS	S	N	2	N	P
53	1	1248	0	1	GALGEN	S	N	2	N	P
54	1	1539	0	1	MORDTAT	S	N	1	N	P
55	2	1934	0	2	SCHLAU	A	P	2	S	A
56	2	1358	0	2	LOYAL	A	P	2	S	A
57	2	1616	0	1	GIFTGAS	S	N	1	S	A
58	1	2646	0	2	HEITER	A	P	2	N	P
59	3	1448	0	1	FRIEDE	S	P	1	R	B
60	1	3840	0	1	STRAFBAR	A	N	1	N	P
61	1	1785	0	2	ENERGIE	S	P	2	N	P
62	3	2160	0	2	FOLTER	S	N	2	R	B
63	2	1778	0	1	ATTENTAT	S	N	2	S	A
64	1	2673	0	1	GEWALT	S	N	1	N	P
65	3	1422	0	2	AKTIV	A	P	2	R	B
66	3	2324	0	1	UNHEIL	S	N	1	R	B
67	2	1302	0	1	PRACHT	S	P	2	S	A
68	1	1903	0	1	VERBOTEN	A	N	2	N	P
69	3	1896	0	2	SEEKRANK	A	N	2	R	B
70	1	2835	0	2	STILVOLL	A	P	2	N	P
71	1	952	0	2	ANMUTIG	A	P	2	N	P
72	3	1251	0	2	SINNLICH	A	P	2	R	B
73	2	1230	0	1	SONNABEND	S	P	1	S	A
74	1	1686	0	2	PARTNER	S	P	2	N	P
75	2	1856	0	1	FREIHEIT	S	P	1	S	A
76	1	1364	0	1	PERVERS	A	N	2	N	P
77	1	2386	0	1	PANIK	S	N	1	N	P
78	2	1364	0	1	TRAUMA	S	N	2	S	A
79	3	2133	0	1	SINNVOLL	A	P	1	R	B
80	1	2138	1	2	ANOMAL	A	N	2	N	P
81	3	1541	0	2	MORDFALL	S	N	2	R	B
82	1	3006	0	1	ASCHFAHL	A	N	2	N	P
83	1	1445	0	1	UNTREUE	S	N	1	N	P
84	2	1553	0	2	HILFLOS	A	N	1	S	A
85	2	1248	1	1	TREU	A	P	2	S	A
86	3	3078	0	1	FRAULICH	A	P	1	R	B
87	3	2521	0	1	ENTSETZT	A	N	1	R	B
88	2	1154	0	1	STRAFTAT	S	N	2	S	A
89	3	3171	0	1	BEFREIUNG	S	P	1	R	B
90	2	1580	0	2	TOLERANT	A	P	2	S	A
91	3	3124	0	2	KORRUPT	A	N	2	R	B
92	3	1664	0	1	PSYCHOSE	S	N	1	R	B
93	2	1414	0	2	HUMAN	A	P	2	S	A
94	3	1618	0	1	HIMMEL	S	P	1	R	B
95	1	2010	0	2	HOFFNUNG	S	P	2	N	P
96	3	1457	0	2	TREULOS	A	N	2	R	B
97	2	1271	0	2	FREUDIG	A	P	2	S	A
98	3	1530	0	1	BRUTAL	A	N	1	R	B
99	3	1933	0	2	EINSAM	A	N	2	R	B
100	2	1627	0	2	OPTIMAL	A	P	2	S	A
101	2	1579	0	1	AGGRESSION	S	N	1	S	A
102	3	3034	0	1	LEBENDIG	A	P	1	R	B
103	1	1828	0	2	GEWINN	S	P	1	N	P
104	2	1726	0	1	OPTIMIST	S	P	2	S	A
105	1	4644	0	1	LABIL	A	N	1	N	P
106	3	1196	0	1	EROTIK	S	P	1	R	B
107	3	2089	0	1	WEIBLICH	A	P	1	R	B
108	3	1246	0	2	VATER	S	P	2	R	B
109	2	1370	0	1	HEILUNG	S	P	1	S	A
110	1	2361	0	2	FORTUNA	S	P	2	N	P
111	2	2642	0	1	ABENDROT	S	P	1	S	A
112	1	1784	0	1	IRRSINN	S	N	1	N	P
113	2	1991	0	1	GEFÜHL	S	P	1	S	A
114	2	1533	0	2	VERLOGEN	A	N	1	S	A
115	3	2615	0	2	SOMMER	S	P	2	R	B
116	1	1797	0	1	LUSTLOS	A	N	1	N	P
117	3	1721	0	2	PEINLICH	A	N	2	R	B
118	3	1187	0	2	KLARHEIT	S	P	2	R	B
119	1	3282	0	2	SILBERN	A	P	1	N	P
120	3	9	0	2	PARADIES	S	P	2	R	B
121	1	5996	0	1	DEKADENT	A	N	2	N	P
122	1	1618	0	1	DROHUNG	S	N	2	N	P
123	2	1238	0	1	KÜSTE	S	P	2	S	A
124	2	1253	0	2	KRAFTLOS	A	N	2	S	A
125	2	1009	0	1	STRAFE	S	N	1	S	A
126	1	3696	0	1	SKLAVE	S	N	1	N	P
127	1	2259	0	2	WARM	A	P	1	N	P
128	1	2136	0	1	ERZFEIND	S	N	1	N	P
129	3	1599	0	1	RETTER	S	P	1	R	B
130	3	1102	0	2	KOLLAPS	S	N	2	R	B
131	1	2466	0	1	ILLEGAL	A	N	2	N	P
132	1	2059	0	1	ZIELLOS	A	N	2	N	P
133	2	1785	0	2	NEIDISCH	A	N	1	S	A
134	1	2554	0	1	TODFEIND	S	N	2	N	P
135	2	2154	0	2	STABIL	A	P	1	S	A
136	2	1120	0	2	ROBUST	A	P	2	S	A
137	2	1251	0	2	TOPFIT	A	P	2	S	A
138	1	2449	0	2	INSEL	S	P	1	N	P
139	3	1997	0	2	MILITANT	A	N	2	R	B
140	1	3507	0	1	RASTLOS	A	N	2	N	P
141	2	1705	0	2	GRANDIOS	A	P	1	S	A
142	3	1613	0	2	MONSTRUM	S	N	2	R	B
143	1	2956	0	1	GEISEL	S	N	1	N	P
144	3	1277	0	1	REIZVOLL	A	P	1	R	B
145	1	2193	0	2	STILVOLL	A	P	2	N	P
146	1	1496	0	1	GREUEL	S	N	2	N	P
147	3	1194	0	2	HALBTOT	A	N	2	R	B
148	2	1201	0	2	GRAUSAM	A	N	2	S	A
